Location,Place_Type,Date,Day,Hour,Weekend,Holiday,Special_Event_or_Festival,Weather,Temperature,Traffic_Level,Parking_Occupancy,Mobile_Density,Historical_Average_Visitors,Crowd_Level,Waiting_Time
Tirumala Venkateswara Temple,Temple,2025-01-05,Sunday,11,Yes,No,No,Rainy,24.1,High,88.5,High,29008,Very High,195
Tirumala Venkateswara Temple,Temple,2025-01-05,Sunday,15,Yes,No,No,Cloudy,21.6,High,87.0,High,18374,Very High,239
Tirumala Venkateswara Temple,Temple,2025-01-05,Sunday,19,Yes,No,No,Cloudy,21.8,High,95.0,High,33549,Very High,253
Tirumala Venkateswara Temple,Temple,2025-01-06,Monday,8,No,No,No,Cloudy,22.2,High,69.5,High,34537,Very High,229
Tirumala Venkateswara Temple,Temple,2025-01-06,Monday,11,No,No,No,Sunny,26.3,High,76.8,High,25393,Very High,221
Tirumala Venkateswara Temple,Temple,2025-01-06,Monday,15,No,No,No,Sunny,24.1,Medium,70.1,High,19305,Very High,106
Tirumala Venkateswara Temple,Temple,2025-01-06,Monday,19,No,No,No,Sunny,24.1,High,89.1,High,27969,Very High,234
Tirumala Venkateswara Temple,Temple,2025-01-07,Tuesday,8,No,No,No,Sunny,22.5,High,97.2,High,33859,Very High,233
Tirumala Venkateswara Temple,Temple,2025-01-07,Tuesday,11,No,No,No,Rainy,22.1,Medium,81.3,High,20878,High,86
Tirumala Venkateswara Temple,Temple,2025-01-07,Tuesday,15,No,No,No,Cloudy,25.9,Medium,82.7,Medium,17936,Very High,110
Tirumala Venkateswara Temple,Temple,2025-01-07,Tuesday,19,No,No,No,Sunny,25.4,High,85.8,High,28287,Very High,205
Tirumala Venkateswara Temple,Temple,2025-01-08,Wednesday,8,No,No,No,Sunny,25.1,High,99.4,High,30962,Very High,236
Tirumala Venkateswara Temple,Temple,2025-01-08,Wednesday,11,No,No,No,Sunny,22.3,High,90.2,High,23569,Very High,206
Tirumala Venkateswara Temple,Temple,2025-01-08,Wednesday,15,No,No,No,Rainy,25.2,Medium,63.0,Medium,17170,High,75
Tirumala Venkateswara Temple,Temple,2025-01-08,Wednesday,19,No,No,No,Sunny,22.4,High,69.3,High,25800,Very High,236
Tirumala Venkateswara Temple,Temple,2025-01-09,Thursday,8,No,No,No,Cloudy,21.2,High,88.8,High,31041,Very High,234
Tirumala Venkateswara Temple,Temple,2025-01-09,Thursday,11,No,No,No,Sunny,22.6,High,84.1,High,25876,Very High,178
Tirumala Venkateswara Temple,Temple,2025-01-09,Thursday,15,No,No,No,Rainy,20.7,High,65.8,Medium,19464,High,82
Tirumala Venkateswara Temple,Temple,2025-01-09,Thursday,19,No,No,No,Sunny,22.5,High,90.8,High,27060,Very High,161
Tirumala Venkateswara Temple,Temple,2025-01-10,Friday,8,No,No,No,Sunny,19.9,High,88.7,High,32879,Very High,229
Tirumala Venkateswara Temple,Temple,2025-01-10,Friday,11,No,No,No,Cloudy,25.0,High,98.2,High,22505,Very High,174
Tirumala Venkateswara Temple,Temple,2025-01-10,Friday,15,No,No,No,Sunny,27.4,High,83.6,High,16834,Very High,164
Tirumala Venkateswara Temple,Temple,2025-01-10,Friday,19,No,No,No,Sunny,25.7,High,88.7,High,25690,Very High,230
Tirumala Venkateswara Temple,Temple,2025-01-11,Saturday,8,Yes,No,No,Sunny,23.7,High,100.0,High,39902,Very High,224
Tirumala Venkateswara Temple,Temple,2025-01-11,Saturday,11,Yes,No,No,Sunny,22.7,High,95.9,High,28916,Very High,220
Tirumala Venkateswara Temple,Temple,2025-01-11,Saturday,15,Yes,No,No,Sunny,20.4,High,72.0,High,20848,Very High,217
Tirumala Venkateswara Temple,Temple,2025-01-11,Saturday,19,Yes,No,No,Rainy,22.2,High,84.6,Medium,32512,Very High,247
Tirumala Venkateswara Temple,Temple,2025-01-12,Sunday,8,Yes,No,No,Sunny,23.7,High,93.5,High,36151,Very High,230
Tirumala Venkateswara Temple,Temple,2025-01-12,Sunday,11,Yes,No,No,Sunny,23.8,High,83.2,Medium,28376,Very High,238
Tirumala Venkateswara Temple,Temple,2025-01-12,Sunday,15,Yes,No,No,Cloudy,24.6,High,78.9,High,19504,Very High,163
Tirumala Venkateswara Temple,Temple,2025-01-12,Sunday,19,Yes,No,No,Sunny,22.5,High,89.8,High,29768,Very High,231
Tirumala Venkateswara Temple,Temple,2025-01-13,Monday,8,No,No,No,Rainy,25.1,High,100.0,High,30129,Very High,154
Tirumala Venkateswara Temple,Temple,2025-01-13,Monday,11,No,No,No,Sunny,23.6,Medium,85.0,High,25885,Very High,156
Tirumala Venkateswara Temple,Temple,2025-01-13,Monday,15,No,No,No,Rainy,26.1,Medium,78.0,Medium,18659,High,80
Tirumala Venkateswara Temple,Temple,2025-01-13,Monday,19,No,No,No,Cloudy,27.7,High,87.2,High,25737,Very High,154
Tirumala Venkateswara Temple,Temple,2025-01-14,Tuesday,8,No,Yes,Yes,Rainy,24.5,High,98.9,High,41981,Very High,272
Tirumala Venkateswara Temple,Temple,2025-01-14,Tuesday,11,No,Yes,Yes,Sunny,23.4,High,83.7,High,32100,Very High,262
Tirumala Venkateswara Temple,Temple,2025-01-14,Tuesday,15,No,Yes,Yes,Rainy,25.1,High,78.8,High,26604,Very High,229
Tirumala Venkateswara Temple,Temple,2025-01-14,Tuesday,19,No,Yes,Yes,Cloudy,22.5,High,76.8,Medium,37191,Very High,282
Tirumala Venkateswara Temple,Temple,2025-01-15,Wednesday,8,No,No,No,Cloudy,26.6,High,80.2,High,32072,Very High,232
Tirumala Venkateswara Temple,Temple,2025-01-15,Wednesday,11,No,No,No,Sunny,23.6,High,74.6,High,26638,Very High,228
Tirumala Venkateswara Temple,Temple,2025-01-15,Wednesday,15,No,No,No,Sunny,21.3,High,77.4,High,14334,Very High,110
Tirumala Venkateswara Temple,Temple,2025-01-15,Wednesday,19,No,No,No,Cloudy,23.9,High,83.1,High,26164,Very High,155
Tirumala Venkateswara Temple,Temple,2025-01-16,Thursday,8,No,No,No,Sunny,23.9,High,89.8,High,30295,Very High,242
Tirumala Venkateswara Temple,Temple,2025-01-16,Thursday,11,No,No,No,Sunny,20.9,High,88.3,High,25920,Very High,161
Tirumala Venkateswara Temple,Temple,2025-01-16,Thursday,15,No,No,No,Cloudy,24.1,High,86.9,High,17243,Very High,130
Tirumala Venkateswara Temple,Temple,2025-01-16,Thursday,19,No,No,No,Sunny,24.7,High,79.0,High,25703,Very High,234
Tirumala Venkateswara Temple,Temple,2025-01-17,Friday,8,No,No,No,Cloudy,26.9,High,100.0,High,35781,Very High,244
Tirumala Venkateswara Temple,Temple,2025-01-17,Friday,11,No,No,No,Sunny,24.0,High,60.7,High,26963,Very High,228
Tirumala Venkateswara Temple,Temple,2025-01-17,Friday,15,No,No,No,Rainy,22.8,High,85.2,High,15203,Very High,120
Tirumala Venkateswara Temple,Temple,2025-01-17,Friday,19,No,No,No,Sunny,27.3,High,75.8,High,28052,Very High,204
Tirumala Venkateswara Temple,Temple,2025-01-18,Saturday,8,Yes,No,No,Sunny,24.4,High,99.1,High,39794,Very High,231
Tirumala Venkateswara Temple,Temple,2025-01-18,Saturday,11,Yes,No,No,Sunny,23.6,High,63.1,High,27067,Very High,239
Tirumala Venkateswara Temple,Temple,2025-01-18,Saturday,15,Yes,No,No,Sunny,22.8,High,92.2,High,21610,Very High,197
Tirumala Venkateswara Temple,Temple,2025-01-18,Saturday,19,Yes,No,No,Sunny,23.8,High,72.5,High,27175,Very High,238
Tirumala Venkateswara Temple,Temple,2025-01-19,Sunday,8,Yes,No,No,Sunny,20.1,High,84.9,High,39141,Very High,245
Tirumala Venkateswara Temple,Temple,2025-01-19,Sunday,11,Yes,No,No,Cloudy,23.1,High,77.1,Medium,31363,Very High,219
Tirumala Venkateswara Temple,Temple,2025-01-19,Sunday,15,Yes,No,No,Sunny,19.4,High,78.8,High,20809,Very High,138
Tirumala Venkateswara Temple,Temple,2025-01-19,Sunday,19,Yes,No,No,Sunny,25.5,High,82.2,High,27128,Very High,233
Tirumala Venkateswara Temple,Temple,2025-01-20,Monday,8,No,No,No,Sunny,22.3,High,84.2,High,33581,Very High,232
Tirumala Venkateswara Temple,Temple,2025-01-20,Monday,11,No,No,No,Sunny,24.6,High,84.4,High,24399,Very High,223
Tirumala Venkateswara Temple,Temple,2025-01-20,Monday,15,No,No,No,Sunny,25.2,High,96.7,High,17525,Very High,131
Tirumala Venkateswara Temple,Temple,2025-01-20,Monday,19,No,No,No,Rainy,19.0,High,100.0,High,27325,Very High,119
Tirumala Venkateswara Temple,Temple,2025-01-21,Tuesday,8,No,No,No,Sunny,21.2,High,79.1,Medium,34031,Very High,247
Tirumala Venkateswara Temple,Temple,2025-01-21,Tuesday,11,No,No,No,Sunny,25.4,High,97.0,High,25491,Very High,195
Tirumala Venkateswara Temple,Temple,2025-01-21,Tuesday,15,No,No,No,Cloudy,22.4,High,89.1,High,18929,Very High,169
Tirumala Venkateswara Temple,Temple,2025-01-21,Tuesday,19,No,No,No,Sunny,25.7,High,98.0,High,26779,Very High,214
Tirumala Venkateswara Temple,Temple,2025-01-22,Wednesday,8,No,No,No,Sunny,24.5,High,90.4,High,36996,Very High,230
Tirumala Venkateswara Temple,Temple,2025-01-22,Wednesday,11,No,No,No,Cloudy,23.9,High,98.5,High,25415,Very High,201
Tirumala Venkateswara Temple,Temple,2025-01-22,Wednesday,15,No,No,No,Sunny,22.4,High,85.3,High,18363,Very High,175
Tirumala Venkateswara Temple,Temple,2025-01-22,Wednesday,19,No,No,No,Sunny,23.2,High,77.0,High,25640,Very High,212
Tirumala Venkateswara Temple,Temple,2025-01-23,Thursday,8,No,No,No,Cloudy,23.4,High,83.8,High,34530,Very High,187
Tirumala Venkateswara Temple,Temple,2025-01-23,Thursday,11,No,No,No,Sunny,27.3,High,83.5,High,26478,Very High,229
Tirumala Venkateswara Temple,Temple,2025-01-23,Thursday,15,No,No,No,Cloudy,24.2,High,61.8,High,17400,High,74
Tirumala Venkateswara Temple,Temple,2025-01-23,Thursday,19,No,No,No,Sunny,21.8,High,92.7,High,28961,Very High,225
Tirumala Venkateswara Temple,Temple,2025-01-24,Friday,8,No,No,No,Sunny,24.0,High,88.8,High,32987,Very High,228
Tirumala Venkateswara Temple,Temple,2025-01-24,Friday,11,No,No,No,Sunny,24.3,High,88.7,High,26555,Very High,217
Tirumala Venkateswara Temple,Temple,2025-01-24,Friday,15,No,No,No,Sunny,26.5,High,87.2,High,18415,Very High,148
Tirumala Venkateswara Temple,Temple,2025-01-24,Friday,19,No,No,No,Sunny,22.9,High,84.8,High,25043,Very High,192
Tirumala Venkateswara Temple,Temple,2025-01-25,Saturday,8,Yes,No,No,Sunny,22.7,High,75.4,High,41339,Very High,246
Tirumala Venkateswara Temple,Temple,2025-01-25,Saturday,11,Yes,No,No,Cloudy,22.6,High,85.1,High,28220,Very High,222
Tirumala Venkateswara Temple,Temple,2025-01-25,Saturday,15,Yes,No,No,Sunny,25.4,High,80.7,High,20867,Very High,242
Tirumala Venkateswara Temple,Temple,2025-01-25,Saturday,19,Yes,No,No,Sunny,25.4,High,100.0,High,30965,Very High,237
Tirumala Venkateswara Temple,Temple,2025-01-26,Sunday,8,Yes,Yes,No,Sunny,23.6,High,98.8,High,41680,Very High,257
Tirumala Venkateswara Temple,Temple,2025-01-26,Sunday,11,Yes,Yes,No,Cloudy,26.5,High,84.4,High,29451,Very High,223
Tirumala Venkateswara Temple,Temple,2025-01-26,Sunday,15,Yes,Yes,No,Cloudy,23.1,High,89.8,High,22744,Very High,250
Tirumala Venkateswara Temple,Temple,2025-01-26,Sunday,19,Yes,Yes,No,Sunny,23.9,High,77.4,High,36623,Very High,238
Tirumala Venkateswara Temple,Temple,2025-01-27,Monday,8,No,No,No,Sunny,22.9,High,91.0,High,35148,Very High,226
Tirumala Venkateswara Temple,Temple,2025-01-27,Monday,11,No,No,No,Sunny,24.8,High,91.9,High,22839,Very High,186
Tirumala Venkateswara Temple,Temple,2025-01-27,Monday,15,No,No,No,Sunny,24.2,High,75.5,High,16077,Very High,221
Tirumala Venkateswara Temple,Temple,2025-01-27,Monday,19,No,No,No,Sunny,24.9,High,87.8,High,28056,Very High,241
Tirumala Venkateswara Temple,Temple,2025-01-28,Tuesday,8,No,No,No,Sunny,23.5,High,90.1,High,30735,Very High,231
Tirumala Venkateswara Temple,Temple,2025-01-28,Tuesday,11,No,No,No,Sunny,25.0,High,100.0,High,21113,Very High,185
Tirumala Venkateswara Temple,Temple,2025-01-28,Tuesday,15,No,No,No,Rainy,26.5,Medium,58.8,Medium,17810,High,54
Tirumala Venkateswara Temple,Temple,2025-01-28,Tuesday,19,No,No,No,Cloudy,24.6,High,86.7,High,28756,Very High,229
Tirumala Venkateswara Temple,Temple,2025-01-29,Wednesday,8,No,No,No,Cloudy,24.2,High,96.6,High,32033,Very High,249
Tirumala Venkateswara Temple,Temple,2025-01-29,Wednesday,11,No,No,No,Rainy,27.9,High,54.8,High,24444,Very High,100
Tirumala Venkateswara Temple,Temple,2025-01-29,Wednesday,15,No,No,No,Sunny,25.2,High,72.7,High,17256,Very High,110
Tirumala Venkateswara Temple,Temple,2025-01-29,Wednesday,19,No,No,No,Rainy,24.4,High,82.3,High,25209,Very High,133
Tirumala Venkateswara Temple,Temple,2025-01-30,Thursday,8,No,No,No,Sunny,25.0,High,71.2,High,33612,Very High,245
Tirumala Venkateswara Temple,Temple,2025-01-30,Thursday,11,No,No,No,Rainy,27.0,High,82.2,High,24226,Very High,132
Tirumala Venkateswara Temple,Temple,2025-01-30,Thursday,15,No,No,No,Sunny,23.5,High,82.3,High,18546,Very High,178
Tirumala Venkateswara Temple,Temple,2025-01-30,Thursday,19,No,No,No,Rainy,24.2,High,92.1,High,26579,Very High,139
Tirumala Venkateswara Temple,Temple,2025-01-31,Friday,8,No,No,No,Cloudy,23.2,High,83.2,High,36002,Very High,243
Tirumala Venkateswara Temple,Temple,2025-01-31,Friday,11,No,No,No,Sunny,21.2,High,79.8,High,28032,Very High,164
Tirumala Venkateswara Temple,Temple,2025-01-31,Friday,15,No,No,No,Cloudy,23.6,High,87.7,High,15374,Very High,138
Tirumala Venkateswara Temple,Temple,2025-01-31,Friday,19,No,No,No,Sunny,22.3,High,66.2,High,28532,Very High,212
Tirumala Venkateswara Temple,Temple,2025-02-01,Saturday,8,Yes,No,No,Sunny,24.4,High,78.8,High,37705,Very High,217
Tirumala Venkateswara Temple,Temple,2025-02-01,Saturday,11,Yes,No,No,Cloudy,22.7,High,79.5,High,31530,Very High,240
Tirumala Venkateswara Temple,Temple,2025-02-01,Saturday,15,Yes,No,No,Sunny,25.3,High,89.3,High,23521,Very High,239
Tirumala Venkateswara Temple,Temple,2025-02-01,Saturday,19,Yes,No,No,Cloudy,26.1,High,79.3,High,30834,Very High,225
Tirumala Venkateswara Temple,Temple,2025-02-02,Sunday,8,Yes,No,No,Sunny,24.6,High,84.4,High,37691,Very High,241
Tirumala Venkateswara Temple,Temple,2025-02-02,Sunday,11,Yes,No,No,Sunny,24.9,High,82.0,High,27789,Very High,209
Tirumala Venkateswara Temple,Temple,2025-02-02,Sunday,15,Yes,No,No,Sunny,18.6,High,77.4,High,20714,Very High,152
Tirumala Venkateswara Temple,Temple,2025-02-02,Sunday,19,Yes,No,No,Cloudy,23.4,High,75.4,High,31744,Very High,236
Tirumala Venkateswara Temple,Temple,2025-02-03,Monday,8,No,No,No,Sunny,26.7,High,86.5,High,32370,Very High,217
Tirumala Venkateswara Temple,Temple,2025-02-03,Monday,11,No,No,No,Sunny,24.6,High,88.7,High,28198,Very High,182
Tirumala Venkateswara Temple,Temple,2025-02-03,Monday,15,No,No,No,Sunny,20.3,High,88.1,High,16723,Very High,111
Tirumala Venkateswara Temple,Temple,2025-02-03,Monday,19,No,No,No,Sunny,22.6,High,80.3,Medium,28171,Very High,224
Tirumala Venkateswara Temple,Temple,2025-02-04,Tuesday,8,No,No,No,Cloudy,21.4,High,84.9,High,34636,Very High,220
Tirumala Venkateswara Temple,Temple,2025-02-04,Tuesday,11,No,No,No,Sunny,23.5,High,77.1,High,27862,Very High,209
Tirumala Venkateswara Temple,Temple,2025-02-04,Tuesday,15,No,No,No,Sunny,25.3,Medium,62.2,High,18460,Very High,100
Tirumala Venkateswara Temple,Temple,2025-02-04,Tuesday,19,No,No,No,Sunny,23.7,High,96.1,High,27722,Very High,189
Tirumala Venkateswara Temple,Temple,2025-02-05,Wednesday,8,No,No,No,Sunny,24.3,High,82.9,High,32972,Very High,191
Tirumala Venkateswara Temple,Temple,2025-02-05,Wednesday,11,No,No,No,Cloudy,27.5,High,78.1,High,27691,Very High,245
Tirumala Venkateswara Temple,Temple,2025-02-05,Wednesday,15,No,No,No,Sunny,22.4,High,78.6,High,18304,Very High,176
Tirumala Venkateswara Temple,Temple,2025-02-05,Wednesday,19,No,No,No,Sunny,22.2,High,75.8,High,25262,Very High,220
Tirumala Venkateswara Temple,Temple,2025-02-06,Thursday,8,No,No,No,Sunny,24.2,High,80.3,High,31769,Very High,232
Tirumala Venkateswara Temple,Temple,2025-02-06,Thursday,11,No,No,No,Sunny,24.7,High,76.4,High,25242,Very High,212
Tirumala Venkateswara Temple,Temple,2025-02-06,Thursday,15,No,No,No,Cloudy,19.9,High,77.8,High,17438,Very High,94
Tirumala Venkateswara Temple,Temple,2025-02-06,Thursday,19,No,No,No,Cloudy,22.3,High,78.7,High,26903,Very High,239
Tirumala Venkateswara Temple,Temple,2025-02-07,Friday,8,No,No,No,Sunny,24.4,High,75.1,High,33030,Very High,217
Tirumala Venkateswara Temple,Temple,2025-02-07,Friday,11,No,No,No,Sunny,26.6,High,83.6,High,27067,Very High,206
Tirumala Venkateswara Temple,Temple,2025-02-07,Friday,15,No,No,No,Sunny,19.5,High,88.3,High,17455,High,143
Tirumala Venkateswara Temple,Temple,2025-02-07,Friday,19,No,No,No,Sunny,28.6,High,84.5,High,28200,Very High,161
Tirumala Venkateswara Temple,Temple,2025-02-08,Saturday,8,Yes,No,No,Cloudy,24.7,High,82.4,High,36393,Very High,222
Tirumala Venkateswara Temple,Temple,2025-02-08,Saturday,11,Yes,No,No,Cloudy,25.7,High,80.3,High,30653,Very High,238
Tirumala Venkateswara Temple,Temple,2025-02-08,Saturday,15,Yes,No,No,Sunny,27.4,High,88.7,High,20661,Very High,215
Tirumala Venkateswara Temple,Temple,2025-02-08,Saturday,19,Yes,No,No,Sunny,29.5,High,84.2,High,28950,Very High,208
Tirumala Venkateswara Temple,Temple,2025-02-09,Sunday,8,Yes,No,No,Cloudy,25.0,High,87.6,High,34655,Very High,230
Tirumala Venkateswara Temple,Temple,2025-02-09,Sunday,11,Yes,No,No,Rainy,19.8,High,84.1,High,31541,Very High,207
Tirumala Venkateswara Temple,Temple,2025-02-09,Sunday,15,Yes,No,No,Cloudy,24.7,High,97.0,High,18555,Very High,226
Tirumala Venkateswara Temple,Temple,2025-02-09,Sunday,19,Yes,No,No,Sunny,23.9,High,89.7,High,34257,Very High,235
Tirumala Venkateswara Temple,Temple,2025-02-10,Monday,8,No,No,No,Sunny,20.5,High,84.3,High,32137,Very High,230
Tirumala Venkateswara Temple,Temple,2025-02-10,Monday,11,No,No,No,Sunny,26.4,High,92.0,High,23127,Very High,228
Tirumala Venkateswara Temple,Temple,2025-02-10,Monday,15,No,No,No,Cloudy,26.0,Medium,42.3,High,16051,High,73
Tirumala Venkateswara Temple,Temple,2025-02-10,Monday,19,No,No,No,Cloudy,23.2,High,84.1,High,27650,Very High,216
Tirumala Venkateswara Temple,Temple,2025-02-11,Tuesday,8,No,No,No,Cloudy,26.9,High,99.3,High,32482,Very High,219
Tirumala Venkateswara Temple,Temple,2025-02-11,Tuesday,11,No,No,No,Sunny,24.0,High,86.7,High,25345,Very High,174
Tirumala Venkateswara Temple,Temple,2025-02-11,Tuesday,15,No,No,No,Sunny,22.6,High,91.8,High,17317,Very High,176
Tirumala Venkateswara Temple,Temple,2025-02-11,Tuesday,19,No,No,No,Cloudy,24.9,High,88.7,High,25656,Very High,222
Tirumala Venkateswara Temple,Temple,2025-02-12,Wednesday,8,No,No,No,Sunny,25.7,High,88.1,High,29665,Very High,226
Tirumala Venkateswara Temple,Temple,2025-02-12,Wednesday,11,No,No,No,Sunny,23.6,High,66.7,High,22269,Very High,212
Tirumala Venkateswara Temple,Temple,2025-02-12,Wednesday,15,No,No,No,Sunny,25.9,High,75.9,High,16411,Very High,88
Tirumala Venkateswara Temple,Temple,2025-02-12,Wednesday,19,No,No,No,Sunny,29.8,High,86.4,High,27235,Very High,228
Tirumala Venkateswara Temple,Temple,2025-02-13,Thursday,8,No,No,No,Sunny,25.5,High,87.3,High,34153,Very High,234
Tirumala Venkateswara Temple,Temple,2025-02-13,Thursday,11,No,No,No,Rainy,22.1,High,79.8,High,23267,High,97
Tirumala Venkateswara Temple,Temple,2025-02-13,Thursday,15,No,No,No,Sunny,20.6,High,93.3,High,17293,Very High,134
Tirumala Venkateswara Temple,Temple,2025-02-13,Thursday,19,No,No,No,Cloudy,24.5,High,78.5,High,28119,Very High,161
Tirumala Venkateswara Temple,Temple,2025-02-14,Friday,8,No,No,No,Sunny,23.9,High,88.8,High,31837,Very High,220
Tirumala Venkateswara Temple,Temple,2025-02-14,Friday,11,No,No,No,Cloudy,26.3,High,82.4,High,26278,Very High,208
Tirumala Venkateswara Temple,Temple,2025-02-14,Friday,15,No,No,No,Rainy,28.2,Medium,82.0,High,17765,Very High,95
Tirumala Venkateswara Temple,Temple,2025-02-14,Friday,19,No,No,No,Rainy,25.2,High,100.0,High,27130,Very High,176
Tirumala Venkateswara Temple,Temple,2025-02-15,Saturday,8,Yes,No,No,Sunny,26.5,High,84.0,High,40469,Very High,234
Tirumala Venkateswara Temple,Temple,2025-02-15,Saturday,11,Yes,No,No,Sunny,21.6,High,97.2,High,29735,Very High,245
Tirumala Venkateswara Temple,Temple,2025-02-15,Saturday,15,Yes,No,No,Sunny,26.6,High,70.6,High,19201,Very High,173
Tirumala Venkateswara Temple,Temple,2025-02-15,Saturday,19,Yes,No,No,Cloudy,22.2,High,94.9,High,30906,Very High,218
Tirumala Venkateswara Temple,Temple,2025-02-16,Sunday,8,Yes,No,No,Sunny,28.4,High,89.7,High,41122,Very High,218
Tirumala Venkateswara Temple,Temple,2025-02-16,Sunday,11,Yes,No,No,Sunny,24.2,High,95.2,High,28067,Very High,235
Tirumala Venkateswara Temple,Temple,2025-02-16,Sunday,15,Yes,No,No,Cloudy,23.3,High,93.2,High,19373,Very High,248
Tirumala Venkateswara Temple,Temple,2025-02-16,Sunday,19,Yes,No,No,Rainy,25.3,High,84.4,High,31292,Very High,163
Tirumala Venkateswara Temple,Temple,2025-02-17,Monday,8,No,No,No,Sunny,25.8,High,82.3,High,27936,Very High,232
Tirumala Venkateswara Temple,Temple,2025-02-17,Monday,11,No,No,No,Sunny,22.5,High,77.9,High,25074,Very High,196
Tirumala Venkateswara Temple,Temple,2025-02-17,Monday,15,No,No,No,Sunny,23.5,High,72.4,Medium,18247,High,85
Tirumala Venkateswara Temple,Temple,2025-02-17,Monday,19,No,No,No,Sunny,23.2,High,75.5,High,25678,Very High,200
Tirumala Venkateswara Temple,Temple,2025-02-18,Tuesday,8,No,No,No,Sunny,26.2,High,84.3,High,32269,Very High,207
Tirumala Venkateswara Temple,Temple,2025-02-18,Tuesday,11,No,No,No,Sunny,24.7,High,73.6,High,24060,Very High,222
Tirumala Venkateswara Temple,Temple,2025-02-18,Tuesday,15,No,No,No,Cloudy,23.5,Medium,68.5,High,15833,High,64
Tirumala Venkateswara Temple,Temple,2025-02-18,Tuesday,19,No,No,No,Sunny,25.5,High,79.1,High,29788,Very High,235
Tirumala Venkateswara Temple,Temple,2025-02-19,Wednesday,8,No,No,No,Rainy,25.9,High,74.5,High,33722,Very High,149
Tirumala Venkateswara Temple,Temple,2025-02-19,Wednesday,11,No,No,No,Sunny,26.6,High,74.9,High,21881,Very High,222
Tirumala Venkateswara Temple,Temple,2025-02-19,Wednesday,15,No,No,No,Rainy,26.4,High,72.7,High,20187,High,68
Tirumala Venkateswara Temple,Temple,2025-02-19,Wednesday,19,No,No,No,Sunny,25.9,High,85.9,High,26887,Very High,236
Tirumala Venkateswara Temple,Temple,2025-02-20,Thursday,8,No,No,No,Sunny,23.3,High,89.8,High,33725,Very High,239
Tirumala Venkateswara Temple,Temple,2025-02-20,Thursday,11,No,No,No,Rainy,22.7,Medium,85.6,High,25855,Very High,102
Tirumala Venkateswara Temple,Temple,2025-02-20,Thursday,15,No,No,No,Sunny,21.6,High,65.9,High,19027,Very High,63
Tirumala Venkateswara Temple,Temple,2025-02-20,Thursday,19,No,No,No,Sunny,24.7,High,72.8,High,26937,Very High,218
Tirumala Venkateswara Temple,Temple,2025-02-21,Friday,8,No,No,No,Sunny,23.3,High,84.2,High,35172,Very High,226
Tirumala Venkateswara Temple,Temple,2025-02-21,Friday,11,No,No,No,Cloudy,23.3,High,78.5,High,23700,Very High,231
Tirumala Venkateswara Temple,Temple,2025-02-21,Friday,15,No,No,No,Sunny,24.8,Medium,85.9,High,16858,Very High,116
Tirumala Venkateswara Temple,Temple,2025-02-21,Friday,19,No,No,No,Sunny,21.9,High,72.2,High,28836,Very High,250
