Location,Place_Type,Date,Day,Hour,Weekend,Holiday,Special_Event_or_Festival,Weather,Traffic,Parking_Percentage,Mobile_Density,Crowd_Level,Estimated_Waiting_Time,Online_Booking_Available,Booked_Visitors,Entry_Token_Available,Tokens_Issued,Public_Transport_Load,School_or_Office_Holiday,Place_Capacity_Indicator,Next_2_Hour_Crowd_Forecast,Next_2_Hour_Waiting_Time
Tirumala Venkateswara Temple,Temple,2025-01-12,Sunday,11,Yes,No,No,Cloudy,Medium,71,High,High,2 hours,Yes,1013,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-12,Sunday,15,Yes,No,No,Cloudy,Medium,25,Low,Medium,45 minutes,Yes,375,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-12,Sunday,19,Yes,No,No,Sunny,Medium,69,Medium,Medium,45 minutes,Yes,507,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-13,Monday,8,No,No,No,Sunny,Low,30,Medium,Medium,45 minutes,Yes,390,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-13,Monday,11,No,No,No,Sunny,Medium,18,Low,Medium,45 minutes,Yes,354,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-13,Monday,15,No,No,No,Rainy,Medium,28,Low,Low,15 minutes,Yes,164,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-13,Monday,19,No,No,No,Sunny,Low,10,Low,Low,15 minutes,Yes,110,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-14,Tuesday,8,No,Yes,Yes,Sunny,High,95,High,Very High,4 hours,Yes,2085,Yes,3500,Not Available,Yes,Above 85%,Very High,4 hours
Tirumala Venkateswara Temple,Temple,2025-01-14,Tuesday,11,No,Yes,Yes,Cloudy,High,99,High,Very High,4 hours,Yes,2097,Yes,3500,Not Available,Yes,Above 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-01-14,Tuesday,15,No,Yes,Yes,Cloudy,Medium,51,Medium,High,2 hours,Yes,953,Yes,1500,Not Available,Yes,60% to 85%,Very High,4 hours
Tirumala Venkateswara Temple,Temple,2025-01-14,Tuesday,19,No,Yes,Yes,Sunny,High,97,High,Very High,4 hours,Yes,2091,Yes,3500,Not Available,Yes,Above 85%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-15,Wednesday,8,No,Yes,Yes,Sunny,High,83,High,Very High,4 hours,Yes,2049,Yes,3500,Not Available,Yes,Above 85%,Very High,4 hours
Tirumala Venkateswara Temple,Temple,2025-01-15,Wednesday,11,No,Yes,Yes,Sunny,High,90,High,Very High,4 hours,Yes,2070,Yes,3500,Not Available,Yes,Above 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-01-15,Wednesday,15,No,Yes,Yes,Sunny,High,53,High,High,2 hours,Yes,959,Yes,1500,Not Available,Yes,60% to 85%,Very High,4 hours
Tirumala Venkateswara Temple,Temple,2025-01-15,Wednesday,19,No,Yes,Yes,Cloudy,High,93,High,Very High,4 hours,Yes,2079,Yes,3500,Not Available,Yes,Above 85%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-16,Thursday,8,No,No,No,Sunny,Low,24,Medium,Medium,45 minutes,Yes,372,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-16,Thursday,11,No,No,No,Sunny,Low,39,Medium,Medium,45 minutes,Yes,417,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-16,Thursday,15,No,No,No,Cloudy,Low,17,Low,Low,15 minutes,Yes,131,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-16,Thursday,19,No,No,No,Sunny,Medium,29,Low,Low,15 minutes,Yes,167,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-17,Friday,8,No,No,No,Sunny,Medium,42,Medium,Medium,45 minutes,Yes,426,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-17,Friday,11,No,No,No,Cloudy,Low,35,Medium,Medium,45 minutes,Yes,405,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-17,Friday,15,No,No,No,Cloudy,Medium,21,Low,Low,15 minutes,Yes,143,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-17,Friday,19,No,No,No,Cloudy,Low,11,Low,Low,15 minutes,Yes,113,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-18,Saturday,8,Yes,No,No,Cloudy,High,63,High,High,2 hours,Yes,989,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-01-18,Saturday,11,Yes,No,No,Sunny,Medium,58,Medium,High,2 hours,Yes,974,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-18,Saturday,15,Yes,No,No,Sunny,Medium,31,Medium,Medium,45 minutes,Yes,393,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-18,Saturday,19,Yes,No,No,Cloudy,Medium,74,Medium,Medium,45 minutes,Yes,522,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-19,Sunday,8,Yes,No,No,Sunny,High,51,Medium,High,2 hours,Yes,953,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-01-19,Sunday,11,Yes,No,No,Sunny,Medium,77,High,High,2 hours,Yes,1031,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-19,Sunday,15,Yes,No,No,Sunny,Low,28,Low,Medium,45 minutes,Yes,384,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-19,Sunday,19,Yes,No,No,Sunny,Medium,72,Medium,Medium,45 minutes,Yes,516,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-20,Monday,8,No,No,No,Sunny,Medium,19,Low,Medium,45 minutes,Yes,357,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-20,Monday,11,No,No,No,Cloudy,Medium,40,Low,Medium,45 minutes,Yes,420,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-20,Monday,15,No,No,No,Sunny,Medium,27,Low,Low,15 minutes,Yes,161,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-20,Monday,19,No,No,No,Sunny,Low,32,Medium,Low,15 minutes,Yes,176,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-21,Tuesday,8,No,No,No,Sunny,Low,20,Medium,Medium,45 minutes,Yes,360,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-21,Tuesday,11,No,No,No,Sunny,Low,20,Medium,Medium,45 minutes,Yes,360,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-21,Tuesday,15,No,No,Yes,Sunny,High,47,Medium,Medium,45 minutes,Yes,441,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-21,Tuesday,19,No,No,No,Rainy,Low,29,Low,Low,15 minutes,Yes,167,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-22,Wednesday,8,No,No,No,Sunny,Medium,32,Medium,Medium,45 minutes,Yes,396,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-22,Wednesday,11,No,No,No,Cloudy,Medium,43,Low,Medium,45 minutes,Yes,429,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-22,Wednesday,15,No,No,No,Sunny,Low,37,Medium,Low,15 minutes,Yes,191,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-22,Wednesday,19,No,No,No,Cloudy,Low,28,Medium,Low,15 minutes,Yes,164,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-23,Thursday,8,No,No,No,Sunny,Medium,39,Low,Medium,45 minutes,Yes,417,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-23,Thursday,11,No,No,No,Cloudy,Low,42,Medium,Medium,45 minutes,Yes,426,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-23,Thursday,15,No,No,No,Sunny,Low,13,Medium,Low,15 minutes,Yes,119,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-23,Thursday,19,No,No,No,Cloudy,Medium,37,Medium,Low,15 minutes,Yes,191,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-24,Friday,8,No,No,No,Sunny,Low,26,Low,Medium,45 minutes,Yes,378,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-24,Friday,11,No,No,No,Rainy,Medium,12,Low,Low,15 minutes,Yes,116,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-24,Friday,15,No,No,No,Rainy,Low,44,Medium,Low,15 minutes,Yes,212,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-24,Friday,19,No,No,No,Rainy,Medium,12,Medium,Low,15 minutes,Yes,116,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-25,Saturday,8,Yes,No,No,Sunny,Medium,70,Medium,High,2 hours,Yes,1010,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-01-25,Saturday,11,Yes,No,No,Sunny,Medium,71,High,High,2 hours,Yes,1013,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-25,Saturday,15,Yes,No,No,Sunny,Low,33,Medium,Medium,45 minutes,Yes,399,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-25,Saturday,19,Yes,No,No,Cloudy,Medium,77,Medium,Medium,45 minutes,Yes,531,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-26,Sunday,8,Yes,No,No,Sunny,High,75,Medium,High,2 hours,Yes,1025,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-01-26,Sunday,11,Yes,No,No,Sunny,High,55,High,High,2 hours,Yes,965,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-26,Sunday,15,Yes,No,No,Sunny,Low,44,Low,Medium,45 minutes,Yes,432,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-26,Sunday,19,Yes,No,No,Sunny,Medium,64,Medium,Medium,45 minutes,Yes,492,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-27,Monday,8,No,No,No,Sunny,Medium,27,Low,Medium,45 minutes,Yes,381,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-27,Monday,11,No,No,No,Sunny,Medium,29,Low,Medium,45 minutes,Yes,387,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-27,Monday,15,No,No,No,Sunny,Medium,25,Medium,Low,15 minutes,Yes,155,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-27,Monday,19,No,No,No,Cloudy,Medium,14,Medium,Low,15 minutes,Yes,122,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-28,Tuesday,8,No,No,No,Cloudy,Low,18,Medium,Medium,45 minutes,Yes,354,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-28,Tuesday,11,No,No,No,Rainy,Low,36,Low,Low,15 minutes,Yes,188,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-28,Tuesday,15,No,No,No,Sunny,Low,42,Low,Low,15 minutes,Yes,206,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-28,Tuesday,19,No,No,No,Cloudy,Low,17,Low,Low,15 minutes,Yes,131,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-29,Wednesday,8,No,No,No,Sunny,Low,34,Medium,Medium,45 minutes,Yes,402,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-29,Wednesday,11,No,No,No,Sunny,Low,40,Low,Medium,45 minutes,Yes,420,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-29,Wednesday,15,No,No,No,Cloudy,Medium,11,Low,Low,15 minutes,Yes,113,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-29,Wednesday,19,No,No,No,Cloudy,Low,10,Medium,Low,15 minutes,Yes,110,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-30,Thursday,8,No,No,No,Cloudy,Medium,18,Medium,Medium,45 minutes,Yes,354,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-30,Thursday,11,No,No,No,Sunny,Medium,33,Low,Medium,45 minutes,Yes,399,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-30,Thursday,15,No,No,No,Sunny,Medium,27,Medium,Low,15 minutes,Yes,161,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-30,Thursday,19,No,No,No,Sunny,Low,44,Medium,Low,15 minutes,Yes,212,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-31,Friday,8,No,No,No,Cloudy,Medium,18,Medium,Medium,45 minutes,Yes,354,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-31,Friday,11,No,No,No,Cloudy,Medium,11,Medium,Medium,45 minutes,Yes,333,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-31,Friday,15,No,No,No,Sunny,Low,19,Low,Low,15 minutes,Yes,137,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-31,Friday,19,No,No,No,Sunny,Medium,34,Medium,Low,15 minutes,Yes,182,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-02-01,Saturday,8,Yes,No,No,Rainy,Medium,60,Medium,Medium,45 minutes,Yes,480,Yes,500,Not Available,No,30% to 60%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-02-01,Saturday,11,Yes,No,No,Sunny,High,72,High,High,2 hours,Yes,1016,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-02-01,Saturday,15,Yes,No,No,Cloudy,Low,10,Low,Medium,45 minutes,Yes,330,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-02-01,Saturday,19,Yes,No,No,Cloudy,Medium,59,Medium,Medium,45 minutes,Yes,477,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-02-02,Sunday,8,Yes,No,No,Sunny,High,45,Medium,High,2 hours,Yes,935,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-02-02,Sunday,11,Yes,No,No,Sunny,Medium,74,Medium,High,2 hours,Yes,1022,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-02-02,Sunday,15,Yes,No,No,Sunny,Low,22,Medium,Medium,45 minutes,Yes,366,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-02-02,Sunday,19,Yes,No,No,Sunny,Medium,75,Medium,Medium,45 minutes,Yes,525,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-02-03,Monday,8,No,No,No,Cloudy,Medium,23,Medium,Medium,45 minutes,Yes,369,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
